Neighbourhood,F2020_Population_Projection,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020,AutoTheft_Rate2018,AutoTheft_Rate2019,AutoTheft_Rate2020,BreakAndEnter_Rate2018,BreakAndEnter_Rate2019,BreakAndEnter_Rate2020,Robbery_Rate2018,Robbery_Rate2019,Robbery_Rate2020,TheftOver_Rate2018,TheftOver_Rate2019,TheftOver_Rate2020,Homicide_Rate2018,Homicide_Rate2019,Homicide_Rate2020,Shootings_Rate2018,Shootings_Rate2019,Shootings_Rate2020
Don Valley Village,29406,439.7599,492.7296,326.464,94.23426,75.80457,115.6227,202.4292,110.2612,102.02,122.1555,117.1525,78.21533,38.39174,48.23927,20.404,0,0,6.801333,3.490158,10.33699,0
Weston,20037,839.3782,981.7386,1018.116,290.1554,239.0762,389.2798,196.8912,295.0303,119.7784,217.6166,132.2549,134.7507,41.45078,20.34691,49.90767,10.36269,10.17346,14.9723,41.45078,76.30093,24.95383
Lawrence Park South,16585,86.98354,159.0895,168.8273,192.6064,165.2083,180.8863,223.672,348.7732,349.7136,31.06555,91.78242,72.35454,12.42622,48.95062,72.35454,0,0,0,0,0,0
Brookhaven-Amesbury,18892,526.6835,533.4471,465.8056,257.9674,192.041,285.8353,177.3526,266.7236,174.6771,107.4864,101.355,84.69193,59.11753,64.01366,47.63921,0,0,0,16.12296,37.3413,0
Long Branch,11564,518.7477,540.876,579.3843,100.1092,97.53503,198.8931,354.9326,257.1378,294.0159,91.00837,266.0046,138.3604,27.30251,17.73364,34.59011,0,0,0,0,0,0
Malvern,47548,584.3414,708.9783,485.8249,131.5307,161.8089,132.4977,137.9994,93.67881,52.57845,109.9683,91.54974,50.47531,34.49986,19.16158,12.61883,2.156241,2.129064,2.103138,23.71865,27.67783,31.54707
Dufferin Grove,12858,858.9152,628.9308,614.4035,127.2467,31.44654,139.9907,365.8343,345.912,435.5265,143.1525,227.9874,147.7679,55.67043,55.03145,31.10904,7.952919,7.861635,7.777259,15.90584,0,23.33178
Maple Leaf,10947,299.4012,258.9955,274.0477,121.6317,231.246,155.2937,65.49401,138.7476,100.4842,56.13773,36.99935,18.26985,37.42515,27.74951,18.26985,0,0,0,18.71257,0,9.134923
Markland Wood,11146,209.3383,144.6524,376.8168,172.9316,81.36697,251.2112,227.5416,226.0193,107.6619,36.40666,117.5301,143.5493,18.20333,27.12232,62.8028,0,0,0,9.101665,18.08155,0
Steeles,26911,118.6648,177.1913,156.07,91.86954,116.8709,104.0467,237.3297,248.8219,92.89881,34.45108,30.16023,22.29572,11.48369,18.85014,3.715953,0,0,0,3.827898,0,7.431905
Lawrence Park North,15751,136.4434,243.9807,272.9985,253.3948,115.5698,146.0225,84.46495,147.6725,120.6273,12.99461,44.94382,76.18564,25.98921,25.68218,6.348803,0,0,0,0,0,0
Yonge-Eglinton,13183,519.1536,710.6442,682.6974,94.39157,92.69273,136.5395,196.6491,316.7001,257.9079,235.9789,92.69273,75.85527,39.32982,69.51955,53.09869,7.865964,7.724394,0,0,7.724394,7.585527
Morningside,18859,711.0677,970.0933,551.4608,65.13597,42.87705,164.3777,103.132,91.11373,95.44514,75.99197,91.11373,37.11756,10.856,21.43852,10.60502,5.427998,5.359631,5.302508,10.856,10.71926,37.11756
Moss Park,23905,2442.04,2750.795,3162.518,229.6313,184.819,167.329,600.5741,1010.058,840.8283,697.7258,597.4383,543.8193,158.9755,107.4529,66.9316,13.24796,12.89435,8.36645,39.74387,12.89435,20.91613
Little Portugal,17741,494.0305,483.2863,450.9329,70.57578,63.2875,152.1898,329.3536,333.6977,304.3797,70.57578,51.78068,50.72995,64.69447,51.78068,33.81997,0,0,0,5.881315,11.50682,0
Woodbine Corridor,13484,688.2469,666.6168,504.3014,90.75783,59.9206,81.57816,181.5157,247.1725,252.1507,181.5157,74.90076,51.91338,52.94207,29.9603,29.66479,0,0,0,0,14.98015,0
Newtonbrook East,17742,471.3413,463.9175,309.9989,69.82834,154.6392,208.5447,372.4178,303.551,214.181,34.91417,63.00114,84.54515,23.27611,57.27377,56.36343,0,0,0,0,0,5.636343
Milliken,29166,261.7801,351.4021,294.8639,318.3812,299.2137,240.0055,424.5083,459.2582,205.719,70.75138,135.6899,116.5741,63.67624,80.02227,41.1438,3.537569,3.479229,0,7.075138,3.479229,3.42865
Pleasant View,16856,277.6269,304.8963,243.2368,78.45978,143.4806,172.0456,199.1671,71.7403,112.7195,60.35367,101.6321,59.32606,30.17684,23.91343,35.59563,0,0,5.932606,6.035367,0,11.86521
Wychwood,16037,479.6474,438.6523,530.0243,129.6344,57.21551,162.1251,194.4516,311.5067,280.6011,129.6344,69.93007,118.476,19.44516,0,6.23558,6.481721,6.357279,6.23558,6.481721,6.357279,12.47116
Leaside-Bennington,18627,200.5795,174.959,155.688,228.4377,169.4915,225.4791,189.4361,246.0361,209.3735,44.57321,10.93494,37.57986,16.71495,38.27228,37.57986,0,0,0,0,0,0
Briar Hill-Belgravia,15448,603.0883,530.2783,556.7064,251.8391,137.4795,239.5132,218.7024,320.7856,297.7732,165.6836,196.3993,64.7333,26.50938,39.27987,51.78664,0,0,0,13.25469,13.09329,6.47333
Mimico (includes Humber Bay Shores),38739,1317.997,856.2594,738.2741,59.53992,163.8521,134.2317,135.318,211.4221,136.813,78.48444,44.92719,28.39516,32.47632,50.21274,49.04618,2.70636,2.642776,2.581378,2.70636,7.928328,5.162756
